"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","exploration_fraction","history_len","lr","nb_timesteps","optimization_mode","problem","problemclass_eval","problemclass_train","reward_system","agent_count","agent_score","all_optimizer_count.Adam","all_optimizer_count.RMSprop","all_optimizer_count.SGD","all_optimizer_count.agent","all_optimizers_scores.Adam","all_optimizers_scores.RMSprop","all_optimizers_scores.SGD","all_optimizers_scores.agent","optimizers_scores.Adam","optimizers_scores.RMSprop","optimizers_scores.SGD","optimizers_scores.agent","optimizers_scores.random_agent"
"noble-sweep-119","whvscye9","crashed","-","tidiane","","2022-12-03T15:30:27.000Z","0","qmr074oo","0.25","15","0.01","43025","hard","","","","lookahead","","","","","","","","","","","","","","",""
"fancy-sweep-118","whvscye9","crashed","-","tidiane","","2022-12-03T15:20:05.000Z","0","qmr074oo","0.25","15","0.01","6956","hard","","","","inverse","","","","","","","","","","","","","","",""
"feasible-sweep-117","whvscye9","crashed","-","tidiane","","2022-12-03T15:06:35.000Z","0","qmr074oo","0.25","15","0.01","51083","hard","","","","opposite","","","","","","","","","","","","","","",""
"dry-sweep-116","whvscye9","crashed","-","tidiane","","2022-12-03T14:56:34.000Z","0","qmr074oo","0.25","15","0.01","7511","hard","","","","threshold","","","","","","","","","","","","","","",""
"worthy-sweep-115","whvscye9","crashed","-","tidiane","","2022-12-03T14:46:59.000Z","0","qmr074oo","0.25","15","0.01","3576","hard","","","","inverse","","","","","","","","","","","","","","",""
"fresh-sweep-114","whvscye9","finished","-","tidiane","","2022-12-03T14:23:03.000Z","1431","qmr074oo","0.25","15","0.01","83370","hard","","","","threshold","","0.334","","","","","","","","","0.02","0.592","0.042","0.334","0.012"
"golden-sweep-113","whvscye9","finished","-","tidiane","","2022-12-03T13:54:58.000Z","1683","qmr074oo","0.25","15","0.01","67774","hard","","","","lookahead","","0.022","","","","","","","","","0.022","0.906","0.034","0.022","0.016"
"sparkling-sweep-112","whvscye9","finished","-","tidiane","","2022-12-03T13:29:14.000Z","1542","qmr074oo","0.25","15","0.01","83942","hard","","","","threshold","","0.32","","","","","","","","","0.018","0.612","0.036","0.32","0.014"
"deep-sweep-111","whvscye9","finished","-","tidiane","","2022-12-03T13:18:15.000Z","654","qmr074oo","0.25","15","0.01","22451","hard","","","","threshold","","0.018","","","","","","","","","0.018","0.9","0.04","0.018","0.024"
"dazzling-sweep-110","whvscye9","finished","-","tidiane","","2022-12-03T13:07:47.000Z","625","qmr074oo","0.25","15","0.01","5650","hard","","","","lookahead","","0.018","","","","","","","","","0.022","0.912","0.036","0.018","0.012"
"fragrant-sweep-109","whvscye9","finished","-","tidiane","","2022-12-03T12:46:04.000Z","1297","qmr074oo","0.25","15","0.01","69200","hard","","","","inverse","","0.276","","","","","","","","","0.018","0.652","0.04","0.276","0.014"
"astral-sweep-108","whvscye9","finished","-","tidiane","","2022-12-03T12:29:28.000Z","991","qmr074oo","0.25","15","0.01","31684","hard","","","","lookahead","","0.02","","","","","","","","","0.022","0.908","0.038","0.02","0.012"
"summer-sweep-107","whvscye9","finished","-","tidiane","","2022-12-03T12:18:14.000Z","673","qmr074oo","0.25","15","0.01","7864","hard","","","","lookahead","","0.02","","","","","","","","","0.022","0.914","0.034","0.02","0.01"
"brisk-sweep-106","whvscye9","finished","-","tidiane","","2022-12-03T12:04:50.000Z","801","qmr074oo","0.25","15","0.01","7080","hard","","","","lookahead","","0.016","","","","","","","","","0.022","0.906","0.04","0.016","0.016"
"splendid-sweep-105","whvscye9","finished","-","tidiane","","2022-12-03T11:54:53.000Z","593","qmr074oo","0.25","15","0.01","2022","hard","","","","opposite","","0.018","","","","","","","","","0.018","0.906","0.042","0.018","0.016"
