"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","exploration_fraction","history_len","lr","nb_timesteps","optimization_mode","problem","problem_test","problem_train","problemclass_eval","problemclass_train","reward_system","agent_count","agent_score","all_optimizer_count.Adam","all_optimizer_count.RMSprop","all_optimizer_count.SGD","all_optimizer_count.agent","all_optimizers_scores.Adam","all_optimizers_scores.RMSprop","all_optimizers_scores.SGD","all_optimizers_scores.agent","optimizers_scores.Adam","optimizers_scores.RMSprop","optimizers_scores.SGD","optimizers_scores.agent","optimizers_scores.random_agent"
"balmy-sweep-25","591d7qlv","finished","-","tidiane","","2022-12-06T21:24:43.000Z","286","noprher9","0.25","15","0.01","80000","hard","","Norm","Norm","","","inverse","","0.13","","","","","","","","","0","0.87","0","0.13","0"
"worthy-sweep-24","591d7qlv","finished","-","tidiane","","2022-12-06T21:19:58.000Z","284","noprher9","0.25","15","0.01","80000","hard","","Norm","Rastrigin","","","inverse","","0","","","","","","","","","0","0.99","0","0","0.01"
"genial-sweep-23","591d7qlv","finished","-","tidiane","","2022-12-06T21:15:13.000Z","284","noprher9","0.25","15","0.01","80000","hard","","Norm","Ackley","","","inverse","","0.15","","","","","","","","","0","0.84","0","0.15","0.01"
"dashing-sweep-22","591d7qlv","finished","-","tidiane","","2022-12-06T21:10:27.000Z","283","noprher9","0.25","15","0.01","80000","hard","","Norm","Noisy","","","inverse","","0.21","","","","","","","","","0","0.79","0","0.21","0"
"sweet-sweep-21","591d7qlv","finished","-","tidiane","","2022-12-06T21:05:47.000Z","276","noprher9","0.25","15","0.01","80000","hard","","Norm","Gaussian","","","inverse","","0.12","","","","","","","","","0","0.88","0","0.12","0"
"magic-sweep-20","591d7qlv","finished","-","tidiane","","2022-12-06T21:00:10.000Z","332","noprher9","0.25","15","0.01","80000","hard","","Rastrigin","Norm","","","inverse","","0","","","","","","","","","0","1","0","0","0"
"wise-sweep-19","591d7qlv","finished","-","tidiane","","2022-12-06T20:54:26.000Z","339","noprher9","0.25","15","0.01","80000","hard","","Rastrigin","Rastrigin","","","inverse","","0","","","","","","","","","0","1","0","0","0"
"glamorous-sweep-18","591d7qlv","finished","-","tidiane","","2022-12-06T20:48:54.000Z","327","noprher9","0.25","15","0.01","80000","hard","","Rastrigin","Ackley","","","inverse","","0","","","","","","","","","0.04","0.96","0","0","0"
"peach-sweep-17","591d7qlv","finished","-","tidiane","","2022-12-06T20:43:17.000Z","334","noprher9","0.25","15","0.01","80000","hard","","Rastrigin","Noisy","","","inverse","","0.07","","","","","","","","","0.01","0.92","0","0.07","0"
"magic-sweep-16","591d7qlv","finished","-","tidiane","","2022-12-06T20:37:45.000Z","330","noprher9","0.25","15","0.01","80000","hard","","Rastrigin","Gaussian","","","inverse","","0.08","","","","","","","","","0.02","0.89","0","0.08","0.01"
"happy-sweep-15","591d7qlv","finished","-","tidiane","","2022-12-06T20:31:26.000Z","378","noprher9","0.25","15","0.01","80000","hard","","Ackley","Norm","","","inverse","","0.36","","","","","","","","","0","0.61","0.03","0.36","0"
"rich-sweep-14","591d7qlv","finished","-","tidiane","","2022-12-06T20:25:13.000Z","369","noprher9","0.25","15","0.01","80000","hard","","Ackley","Rastrigin","","","inverse","","0","","","","","","","","","0","0.97","0.02","0","0.01"
"worldly-sweep-13","591d7qlv","finished","-","tidiane","","2022-12-06T20:18:54.000Z","375","noprher9","0.25","15","0.01","80000","hard","","Ackley","Ackley","","","inverse","","0.13","","","","","","","","","0","0.76","0.09","0.13","0.02"
"effortless-sweep-12","591d7qlv","finished","-","tidiane","","2022-12-06T20:12:35.000Z","373","noprher9","0.25","15","0.01","80000","hard","","Ackley","Noisy","","","inverse","","0.33","","","","","","","","","0","0.61","0.04","0.33","0.02"
"pleasant-sweep-11","591d7qlv","finished","-","tidiane","","2022-12-06T20:06:12.000Z","381","noprher9","0.25","15","0.01","80000","hard","","Ackley","Gaussian","","","inverse","","0.37","","","","","","","","","0","0.57","0.05","0.37","0.01"
"generous-sweep-10","591d7qlv","finished","-","tidiane","","2022-12-06T20:00:03.000Z","364","noprher9","0.25","15","0.01","80000","hard","","Noisy","Norm","","","inverse","","0.15","","","","","","","","","0.01","0.83","0","0.15","0.01"
"clear-sweep-9","591d7qlv","finished","-","tidiane","","2022-12-06T19:54:05.000Z","352","noprher9","0.25","15","0.01","80000","hard","","Noisy","Rastrigin","","","inverse","","0","","","","","","","","","0.01","0.98","0","0","0.01"
"super-sweep-8","591d7qlv","finished","-","tidiane","","2022-12-06T19:48:07.000Z","355","noprher9","0.25","15","0.01","80000","hard","","Noisy","Ackley","","","inverse","","0.13","","","","","","","","","0.02","0.84","0.01","0.13","0"
"giddy-sweep-7","591d7qlv","finished","-","tidiane","","2022-12-06T19:42:03.000Z","361","noprher9","0.25","15","0.01","80000","hard","","Noisy","Noisy","","","inverse","","0.14","","","","","","","","","0.01","0.84","0","0.14","0.01"
"wild-sweep-6","591d7qlv","finished","-","tidiane","","2022-12-06T19:36:15.000Z","344","noprher9","0.25","15","0.01","80000","hard","","Noisy","Gaussian","","","inverse","","0.1","","","","","","","","","0","0.87","0","0.1","0.03"
"eternal-sweep-5","591d7qlv","finished","-","tidiane","","2022-12-06T19:17:21.000Z","1131","noprher9","0.25","15","0.01","80000","hard","","Gaussian","Norm","","","inverse","","0.44","","","","","","","","","0.03","0.5","0.03","0.44","0"
"misty-sweep-4","591d7qlv","finished","-","tidiane","","2022-12-06T18:57:40.000Z","1179","noprher9","0.25","15","0.01","80000","hard","","Gaussian","Rastrigin","","","inverse","","0","","","","","","","","","0.01","0.95","0.02","0","0.02"
"charmed-sweep-3","591d7qlv","finished","-","tidiane","","2022-12-06T18:36:44.000Z","1251","noprher9","0.25","15","0.01","80000","hard","","Gaussian","Ackley","","","inverse","","0.28","","","","","","","","","0.02","0.67","0.03","0.28","0"
"mild-sweep-2","591d7qlv","finished","-","tidiane","","2022-12-06T18:16:08.000Z","1231","noprher9","0.25","15","0.01","80000","hard","","Gaussian","Noisy","","","inverse","","0.22","","","","","","","","","0.03","0.71","0.03","0.22","0.01"
"different-sweep-1","591d7qlv","finished","-","tidiane","","2022-12-06T18:06:30.000Z","574","noprher9","0.25","15","0.01","80000","hard","","Gaussian","Gaussian","","","inverse","","0.2","","","","","","","","","0.03","0.69","0.06","0.2","0.02"
