"Name","Created","Runtime","GitHub","End Time","Hostname","ID","Notes","GPU Type","GPU Count","State","Updated","Tags","nb_timesteps","problemclass_eval","problemclass_train","exploration_fraction","optimization_mode","reward_system","agent_score","all_optimizers_scores.Adam","all_optimizers_scores.RMSprop","all_optimizers_scores.SGD","all_optimizers_scores.agent"
"neat-vortex-357","2022-11-30T07:58:38.000Z","30","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T07:59:08.000Z","vs2-0","59obc8zb","-","NVIDIA GeForce RTX 3090","2","failed","2022-11-30T07:59:08.000Z","","10000","NoisyHillsProblem","NoisyHillsProblem","0.1","soft","function","","","","",""
"crisp-dream-356","2022-11-30T04:16:51.000Z","143","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:19:14.000Z","vs2-0","zfhw197m","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:19:14.000Z","","10000","NormProblem","all_except_eval","0.5","soft","function","0.876","0.006","0.118","0","0.876"
"wild-eon-355","2022-11-30T04:14:28.000Z","141","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:16:49.000Z","vs2-0","371t34y3","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:16:49.000Z","","10000","NormProblem","all_except_eval","0.5","soft","function","0.854","0.006","0.14","0","0.854"
"wild-armadillo-354","2022-11-30T04:12:03.000Z","142","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:14:25.000Z","vs2-0","2hlw9d65","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:14:25.000Z","","10000","NormProblem","all_except_eval","0.5","soft","function","0.894","0","0.106","0","0.894"
"toasty-sponge-353","2022-11-30T04:09:38.000Z","142","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:12:00.000Z","vs2-0","2z2gneo9","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:12:00.000Z","","10000","NormProblem","all_except_eval","0.5","soft","function","0.876","0.006","0.118","0","0.876"
"warm-vortex-352","2022-11-30T04:07:13.000Z","142","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:09:35.000Z","vs2-0","171banx7","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:09:35.000Z","","10000","NormProblem","all_except_eval","0.5","soft","function","0.892","0","0.108","0","0.892"
"ruby-darkness-351","2022-11-30T04:04:09.000Z","181","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:07:10.000Z","vs2-0","27cuz043","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:07:10.000Z","","10000","AckleyProblem","all_except_eval","0.5","soft","function","0.374","0.002","0.592","0.032","0.374"
"dandy-sun-350","2022-11-30T04:01:05.000Z","182","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:04:07.000Z","vs2-0","13wvt9vb","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:04:07.000Z","","10000","AckleyProblem","all_except_eval","0.5","soft","function","0.356","0.006","0.598","0.04","0.356"
"wandering-rain-349","2022-11-30T03:58:00.000Z","183","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T04:01:03.000Z","vs2-0","3rzh14qk","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T04:01:03.000Z","","10000","AckleyProblem","all_except_eval","0.5","soft","function","0.354","0","0.6","0.046","0.354"
"rare-cherry-348","2022-11-30T03:54:57.000Z","181","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T03:57:58.000Z","vs2-0","31tonub2","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T03:57:58.000Z","","10000","AckleyProblem","all_except_eval","0.5","soft","function","0.392","0.002","0.554","0.052","0.392"
"sleek-bee-347","2022-11-30T03:51:52.000Z","183","https://github.com/tidiane-camaret/autoML_switch_opt/tree/0b36a3913ab5f75acb0bee304e113507ca183309","2022-11-30T03:54:55.000Z","vs2-0","1b5f27qw","-","NVIDIA GeForce RTX 3090","2","finished","2022-11-30T03:54:55.000Z","","10000","AckleyProblem","all_except_eval","0.5","soft","function","0.35","0.002","0.604","0.044","0.35"
